# TRADING CODE LTP* HIGH LOW CLOSEP* YCP* CHANGE TRADE VALUE (mn) VOLUME	
285	SHEPHERD	15.5	15.7	15.2	15.5	15.4	0.1	67	1.0130	65,857	
286	OAL	7.6	7.8	7.5	7.6	7.7	-0.1	96	1.0020	131,095	
287	EXIM1STMF	3.7	3.8	3.6	3.7	3.7	0	61	0.9980	270,974	
288	NEWLINE	7.8	7.9	7.7	7.8	7.7	0.1	123	0.9930	127,964	
289	CROWNCEMNT	48	49.3	48	48.1	48.7	-0.7	68	0.9780	20,167	
290	SILVAPHL	10.3	10.6	10.2	10.3	10.5	-0.2	75	0.9700	94,043	
291	GIB	3.6	3.7	3.5	3.6	3.6	0	156	0.9270	258,108	
292	PRIME1ICBA	5	5.1	4.9	5	5	0	20	0.9090	181,800	
293	AGRANINS	24.5	24.9	24	24.5	24.3	0.2	67	0.9020	36,992	
294	FEDERALINS	17.8	17.9	17.6	17.8	17.7	0.1	90	0.8980	50,631	
295	EBL1STMF	5.7	5.8	5.5	5.7	5.5	0.2	146	0.8890	157,311	
296	AZIZPIPES	51	52.8	51	51.1	51.4	-0.4	80	0.8320	16,106	
297	WMSHIPYARD	8.9	9.2	8.2	8.9	9	-0.1	111	0.7990	89,903	
298	ASIAPACINS	31.4	31.6	30.5	31.4	31.2	0.2	72	0.7860	25,275	
299	ILFSL	3.7	3.8	3.6	3.7	3.8	-0.1	31	0.7730	205,410	
300	ICB3RDNRB	4.5	4.6	4.5	4.6	4.5	0	12	0.7630	167,100	
301	ZAHEENSPIN	6.6	6.8	6.6	6.6	6.7	-0.1	118	0.7500	113,142	
302	PENINSULA	11.1	11.3	11	11.1	11.1	0	39	0.7490	67,571	
303	DELTASPINN	5.4	5.4	5.2	5.4	5.2	0.2	104	0.7440	139,724	
304	MERCINS	24.3	25.4	24	24.3	24.6	-0.3	25	0.7400	29,398	
305	ISNLTD	37.3	38.7	36.9	37.3	37.7	-0.4	70	0.7380	19,677	
306	RAHIMTEXT	112.5	115.6	112	112	114.2	-1.7	67	0.7270	6,425	
